,Country,NumericValue,Low,High,Year
362,CMR,14505.0,11900.0,17900.0,2020
363,COD,78709.0,52200.0,120000.0,2020
364,COG,2279.0,1970.0,2850.0,2020
365,COL,5.0,,,2020
366,COM,11.0,5.0,17.0,2020
367,CPV,0.0,,,2020
368,CRI,0.0,,,2020
369,DJI,126.0,63.0,190.0,2020
370,DOM,2.0,,,2020
371,DZA,0.0,,,2020
372,ECU,3.0,,,2020
373,EMR,12727.0,7000.0,21600.0,2020
374,ERI,372.0,150.0,690.0,2020
375,ETH,9424.0,3410.0,18500.0,2020
376,EUR,0.0,,,2020
377,GAB,385.0,320.0,490.0,2020
378,GEO,0.0,,,2020
379,GHA,12516.0,11600.0,13800.0,2020
380,GIN,9954.0,8210.0,12300.0,2020
381,GLOBAL,624525.0,583000.0,747000.0,2020
382,GMB,608.0,580.0,650.0,2020
383,GNB,969.0,770.0,1310.0,2020
384,GNQ,766.0,600.0,1060.0,2020
385,GTM,0.0,,,2020
386,GUY,28.0,14.0,44.0,2020
387,HND,0.0,0.0,1.0,2020
388,HTI,104.0,40.0,190.0,2020
389,IDN,1415.0,700.0,2170.0,2020
390,IND,7316.0,3170.0,12900.0,2020
391,IRN,0.0,,,2020
392,IRQ,0.0,,,2020
393,KAZ,0.0,,,2020
394,KEN,11768.0,10600.0,13600.0,2020
395,KGZ,0.0,,,2020
396,KHM,27.0,13.0,42.0,2020
397,KOR,0.0,,,2020
398,LAO,7.0,3.0,12.0,2020
399,LBR,3931.0,2820.0,5620.0,2020
400,LKA,0.0,,,2020
401,MAR,0.0,,,2020
402,MDG,10265.0,4050.0,18800.0,2020
403,MEX,0.0,,,2020
404,MLI,20662.0,15100.0,28000.0,2020
405,MMR,77.0,39.0,120.0,2020
406,MOZ,23693.0,14700.0,40300.0,2020
407,MRT,1129.0,970.0,1460.0,2020
408,MWI,7400.0,6300.0,9200.0,2020
409,MYS,0.0,,,2020
410,NAM,51.0,22.0,87.0,2020
411,NER,24068.0,15400.0,39200.0,2020
412,NGA,195720.0,151000.0,263000.0,2020
413,NIC,0.0,,,2020
414,NPL,0.0,,,2020
415,OMN,0.0,,,2020
416,PAK,454.0,230.0,740.0,2020
417,PAN,0.0,,,2020
418,PER,23.0,11.0,41.0,2020
419,PHL,33.0,14.0,61.0,2020
420,PNG,2962.0,1260.0,5310.0,2020
421,PRK,0.0,,,2020
422,PRY,0.0,,,2020
423,RWA,3205.0,3010.0,3530.0,2020
424,SAU,0.0,,,2020
425,SDN,7635.0,2690.0,16400.0,2020
426,SEAR,8826.0,5000.0,15000.0,2020
427,SEN,4311.0,4110.0,4580.0,2020
428,SLB,123.0,63.0,190.0,2020
429,SLE,9020.0,6260.0,12600.0,2020
430,SLV,0.0,,,2020
431,SOM,2372.0,900.0,4570.0,2020
432,SSD,7290.0,4340.0,12800.0,2020
433,STP,0.0,,,2020
434,SUR,0.0,,,2020
435,SWZ,0.0,,,2020
436,SYR,0.0,,,2020
437,TCD,12190.0,9580.0,16000.0,2020
438,TGO,3745.0,3160.0,4570.0,2020
439,THA,3.0,,,2020
440,TJK,0.0,,,2020
441,TKM,0.0,,,2020
442,TLS,0.0,,,2020
443,TUR,0.0,,,2020
444,TZA,25464.0,22800.0,29500.0,2020
445,UGA,20279.0,15700.0,27800.0,2020
446,UZB,0.0,,,2020
447,VEN,196.0,100.0,300.0,2020
448,VNM,2.0,1.0,3.0,2020
449,VUT,0.0,,,2020
450,WPR,3154.0,1400.0,5400.0,2020
451,YEM,2030.0,850.0,3750.0,2020
452,ZAF,38.0,,,2020
453,ZMB,8846.0,7590.0,10800.0,2020
454,ZWE,2951.0,1080.0,5680.0,2020
455,AFG,91.0,41.0,150.0,2021
456,AFR,593470.0,553000.0,728000.0,2021
457,AGO,17836.0,11400.0,29800.0,2021
458,AMR,334.0,247.0,436.0,2021
459,ARE,0.0,,,2021
460,ARG,0.0,,,2021
461,ARM,0.0,,,2021
462,AZE,0.0,,,2021
463,BDI,5957.0,4700.0,8240.0,2021
464,BEN,11154.0,8590.0,14400.0,2021
465,BFA,18976.0,13400.0,28000.0,2021
466,BGD,16.0,7.0,27.0,2021
467,BLZ,0.0,,,2021
468,BOL,5.0,1.0,10.0,2021
469,BRA,58.0,,,2021
470,BTN,0.0,,,2021
471,BWA,2.0,1.0,4.0,2021
472,CAF,5151.0,3120.0,9270.0,2021
473,CHN,0.0,,,2021
474,CIV,14906.0,11400.0,19500.0,2021
475,CMR,13839.0,11200.0,17300.0,2021
476,COD,78847.0,50600.0,126000.0,2021
477,COG,2293.0,1980.0,2900.0,2021
478,COL,11.0,,,2021
479,COM,26.0,12.0,41.0,2021
480,CPV,0.0,,,2021
481,CRI,0.0,,,2021
482,DJI,117.0,57.0,180.0,2021
483,DOM,1.0,,,2021
484,DZA,0.0,,,2021
485,ECU,0.0,,,2021
486,EMR,13413.0,7500.0,22600.0,2021
487,ERI,211.0,83.0,390.0,2021
488,ETH,8041.0,2920.0,15800.0,2021
489,EUR,0.0,,,2021
490,GAB,384.0,320.0,500.0,2021
491,GEO,0.0,,,2021
492,GHA,12557.0,11600.0,14000.0,2021
493,GIN,9439.0,8010.0,11300.0,2021
494,GLOBAL,618975.0,577000.0,754000.0,2021
495,GMB,615.0,580.0,660.0,2021
496,GNB,1029.0,820.0,1400.0,2021
497,GNQ,785.0,610.0,1120.0,2021
498,GTM,0.0,,,2021
499,GUY,27.0,14.0,43.0,2021
500,HND,2.0,1.0,4.0,2021
501,HTI,57.0,22.0,110.0,2021
502,IDN,1412.0,700.0,2160.0,2021
503,IND,7450.0,3270.0,13100.0,2021
504,IRN,0.0,,,2021
505,IRQ,0.0,,,2021
506,KAZ,0.0,,,2021
507,KEN,12011.0,10800.0,14000.0,2021
508,KGZ,0.0,,,2021
509,KHM,10.0,4.0,16.0,2021
510,KOR,0.0,,,2021
511,LAO,6.0,2.0,11.0,2021
512,LBR,3578.0,2690.0,4960.0,2021
513,LKA,0.0,,,2021
514,MAR,0.0,,,2021
515,MDG,12571.0,4890.0,23400.0,2021
516,MEX,0.0,,,2021
517,MLI,19933.0,14600.0,27400.0,2021
518,MMR,231.0,98.0,990.0,2021
519,MOZ,22291.0,13900.0,37800.0,2021
520,MRT,1144.0,980.0,1500.0,2021
521,MUS,0.0,,,2021
522,MWI,7392.0,6310.0,9230.0,2021
523,MYS,0.0,,,2021
524,NAM,54.0,23.0,92.0,2021
525,NER,24997.0,15300.0,42700.0,2021
526,NGA,193512.0,146000.0,268000.0,2021
527,NIC,0.0,,,2021
528,NPL,0.0,,,2021
529,OMN,0.0,,,2021
530,PAK,460.0,230.0,760.0,2021
531,PAN,0.0,,,2021
532,PER,17.0,9.0,28.0,2021
533,PHL,22.0,9.0,40.0,2021
534,PNG,2449.0,1040.0,4340.0,2021
535,PRK,0.0,,,2021
536,PRY,0.0,,,2021
537,RWA,3258.0,3050.0,3630.0,2021
538,SAU,0.0,,,2021
539,SDN,7784.0,2680.0,16800.0,2021
540,SEAR,9109.0,5000.0,15000.0,2021
541,SEN,4375.0,4160.0,4680.0,2021
542,SLB,162.0,83.0,260.0,2021
543,SLE,8314.0,5940.0,11400.0,2021
544,SLV,0.0,,,2021
545,SOM,2506.0,1000.0,4870.0,2021
546,SSD,7344.0,4200.0,13600.0,2021
547,STP,1.0,,,2021
548,SUR,0.0,,,2021
549,SWZ,0.0,0.0,1.0,2021
550,SYR,0.0,,,2021
551,TCD,11744.0,9320.0,15400.0,2021
552,TGO,3715.0,3090.0,4650.0,2021
553,THA,0.0,,,2021
554,TJK,0.0,,,2021
555,TKM,0.0,,,2021
556,TLS,0.0,,,2021
557,TUR,0.0,,,2021
558,TZA,25787.0,23000.0,30300.0,2021
559,UGA,19663.0,15700.0,26400.0,2021
560,UZB,0.0,,,2021
561,VEN,156.0,80.0,240.0,2021
562,VNM,0.0,,,2021
563,VUT,0.0,,,2021
564,WPR,2649.0,1200.0,4600.0,2021
565,YEM,2455.0,1030.0,4550.0,2021
566,ZAF,56.0,,,2021
567,ZMB,8806.0,7580.0,10800.0,2021
568,ZWE,876.0,320.0,1680.0,2021
