measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,India,Both,All ages,Measles,Number,2021,1141.7917172630325,2102.030279199788,557.0592936584908
Deaths,India,Both,All ages,Malaria,Number,2021,16917.06449954352,66855.92758656752,0.0
Deaths,Egypt,Both,All ages,Rheumatoid arthritis,Number,2018,37.82854341048593,45.555494702174634,30.495444648279726
Deaths,India,Both,All ages,Asthma,Number,2021,201015.3679562917,298662.1369663283,142001.85336258286
Deaths,Egypt,Both,All ages,COVID-19,Number,2018,0.0,0.0,0.0
Deaths,Indonesia,Both,All ages,Tuberculosis,Number,2018,91555.63808719367,107142.08659987639,76050.61535218828
Deaths,Japan,Both,All ages,Measles,Number,2017,0.5490155259342543,0.6393779429058574,0.43471535874198197
Deaths,Japan,Both,All ages,Malaria,Number,2017,0.0,0.0,0.0
Deaths,India,Both,All ages,COVID-19,Number,2021,1666327.4263167733,1736488.2042102613,1582025.1989458976
Deaths,Indonesia,Both,All ages,Acute hepatitis,Number,2019,5067.340715330392,6267.3290646408905,4137.4536575137
Deaths,China,Both,All ages,Tuberculosis,Number,2021,37331.568232315076,49368.1829672616,29309.166942284533
Deaths,Indonesia,Both,All ages,Rheumatoid arthritis,Number,2019,239.07574671507288,321.9673991027975,97.7477131540778
Deaths,China,Both,All ages,Stroke,Number,2021,2591646.916350833,3032694.924987441,2179395.7673943443
Deaths,Nigeria,Both,All ages,Tuberculosis,Number,2021,47938.94175174662,63607.386377740826,32681.38251592493
Deaths,Pakistan,Both,All ages,Malaria,Number,2021,8839.575703718438,25709.59080817289,459.7424031525027
Deaths,Indonesia,Both,All ages,Stroke,Number,2018,377300.42622232164,433469.18886159844,318609.20693393715
Deaths,Viet Nam,Both,All ages,Asthma,Number,2017,6845.32128973581,8532.036243091254,5088.695777446582
Deaths,Nigeria,Both,All ages,Tuberculosis,Number,2017,55061.71306489653,67956.83893043944,39668.79896642547
Deaths,Japan,Both,All ages,Measles,Number,2021,0.01448345145538794,0.025542515998769257,0.006602523356526163
Deaths,Japan,Both,All ages,Malaria,Number,2021,0.0,0.0,0.0
Deaths,Japan,Both,All ages,Asthma,Number,2021,1765.2349116673174,2006.6358193848755,1339.876449151594
Deaths,Japan,Both,All ages,Asthma,Number,2017,1805.2208554486408,2031.7793076842995,1393.6979512566204
Deaths,Indonesia,Both,All ages,Acute hepatitis,Number,2018,5055.098934316814,6342.12206826065,4036.395764519824
Deaths,Nigeria,Both,All ages,Measles,Number,2021,5932.203580704691,10308.939592659886,2885.665380959705
Deaths,Viet Nam,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,Indonesia,Both,All ages,Rheumatoid arthritis,Number,2020,247.9137833608882,335.4740968186681,99.17143138041924
Deaths,Indonesia,Both,All ages,Rheumatoid arthritis,Number,2018,230.74634125659287,312.96481899534,97.18132498088917
Deaths,Ethiopia,Both,All ages,Rheumatoid arthritis,Number,2017,7.266675192305978,70.17002757682685,2.2448198172987843
Deaths,Viet Nam,Both,All ages,Measles,Number,2021,20.060858195495264,64.40085202118324,6.835042960669384
Deaths,Viet Nam,Both,All ages,Malaria,Number,2021,2.2941398234031465,4.3696047512409875,0.9344163844159362
Deaths,Viet Nam,Both,All ages,Asthma,Number,2021,6943.7969362715,8937.318641140999,4965.591172151057
Deaths,Egypt,Both,All ages,Tuberculosis,Number,2019,938.1614983298699,1054.9401062246152,838.3970402658282
Deaths,Nigeria,Both,All ages,Measles,Number,2017,16158.035396538178,37651.87720371999,5115.965847026072
Deaths,Ethiopia,Both,All ages,Malaria,Number,2017,5855.8483712379675,14975.184376016468,1461.2951757329351
Deaths,Japan,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,India,Both,All ages,Rheumatoid arthritis,Number,2017,7139.962207765182,10856.955476165485,5254.626455098206
Deaths,Pakistan,Both,All ages,Rheumatoid arthritis,Number,2021,1005.9547849292493,1400.855369984395,623.7816781679137
Deaths,Indonesia,Both,All ages,Diabetes mellitus,Number,2019,57906.9371660816,67079.03310568588,47573.68196204048
Deaths,Nigeria,Both,All ages,Diabetes mellitus,Number,2021,28759.503487868224,35557.669008056255,23253.207791634955
Deaths,Egypt,Both,All ages,Measles,Number,2019,81.03794543697143,181.85765088326144,25.308362294778593
Deaths,Egypt,Both,All ages,Malaria,Number,2019,0.0,0.0,0.0
Deaths,Nigeria,Both,All ages,Stroke,Number,2017,70975.17178574938,86979.32353633072,59086.4930429863
Deaths,Egypt,Both,All ages,Asthma,Number,2019,3010.9902712509493,3335.377643725111,2739.540520653704
Deaths,Egypt,Both,All ages,Acute hepatitis,Number,2018,2605.4528555011766,4563.186215032445,990.1489630187921
Deaths,Egypt,Both,All ages,COVID-19,Number,2019,0.0,0.0,0.0
Deaths,Egypt,Both,All ages,Stroke,Number,2019,71527.2135868471,80088.67240808296,64144.15791069887
Deaths,Egypt,Both,All ages,Rheumatoid arthritis,Number,2019,36.982462386558595,44.684294567307326,30.081387309594362
Deaths,Nigeria,Both,All ages,Asthma,Number,2017,6380.601501349025,8271.835105280677,5036.556996810949
Deaths,Japan,Both,All ages,COVID-19,Number,2021,14886.61754583256,17714.437297226872,12576.966838108094
Deaths,Congo,Both,All ages,Measles,Number,2019,153.3336229957764,331.6931669182506,46.8255628971796
Deaths,Congo,Both,All ages,Malaria,Number,2019,2444.546780763404,4761.400349147565,943.9713588248218
Deaths,Congo,Both,All ages,Asthma,Number,2019,301.3145024869064,474.9159432258178,206.29518650901227
Deaths,Indonesia,Both,All ages,Diabetes mellitus,Number,2018,55628.79787700428,64839.57940907025,46156.49873141655
Deaths,Viet Nam,Both,All ages,COVID-19,Number,2021,36397.19509812855,58500.73130314648,32182.207388615538
Deaths,Nigeria,Both,All ages,Stroke,Number,2021,74297.39528856371,92111.88985056772,61072.09774568318
Deaths,Viet Nam,Both,All ages,Tuberculosis,Number,2021,19436.9457591938,26331.904645214618,15032.003761896118
