,Country,NumericValue,Low,High,Year
374,DZA,0.0,,,2020
375,ECU,1934.0,,,2020
376,EMR,5857293.0,4100000.0,8500000.0,2020
377,ERI,158684.0,102000.0,220000.0,2020
378,ETH,4227742.0,2351000.0,6366000.0,2020
379,EUR,0.0,,,2020
380,GAB,527769.0,283000.0,907000.0,2020
381,GEO,0.0,,,2020
382,GHA,5313608.0,3799000.0,7289000.0,2020
383,GIN,4416575.0,2698000.0,6876000.0,2020
384,GLOBAL,245085135.0,222000000.0,273000000.0,2020
385,GMB,210897.0,148000.0,304000.0,2020
386,GNB,189707.0,61000.0,453000.0,2020
387,GNQ,352514.0,188000.0,617000.0,2020
388,GTM,1241.0,1100.0,1400.0,2020
389,GUF,164.0,150.0,190.0,2020
390,GUY,22159.0,19000.0,26000.0,2020
391,HND,1098.0,860.0,1300.0,2020
392,HTI,40876.0,27000.0,57000.0,2020
393,IDN,769298.0,704000.0,845000.0,2020
394,IND,4133982.0,2750000.0,5976000.0,2020
395,IRN,0.0,,,2020
396,IRQ,0.0,,,2020
397,KAZ,0.0,,,2020
398,KEN,3302189.0,2385000.0,4466000.0,2020
399,KGZ,0.0,,,2020
400,KHM,43341.0,37000.0,51000.0,2020
401,KOR,356.0,,,2020
402,LAO,5674.0,4100.0,7500.0,2020
403,LBR,1914081.0,1172000.0,2944000.0,2020
404,LKA,0.0,,,2020
405,MAR,0.0,,,2020
406,MDG,4010537.0,2660000.0,5479000.0,2020
407,MEX,356.0,,,2020
408,MLI,7586538.0,5354000.0,10780000.0,2020
409,MMR,82144.0,66000.0,98000.0,2020
410,MOZ,9990474.0,7028000.0,13770000.0,2020
411,MRT,201771.0,69000.0,395000.0,2020
412,MWI,4252631.0,2503000.0,6787000.0,2020
413,MYS,0.0,,,2020
414,NAM,20258.0,16000.0,25000.0,2020
415,NER,7845383.0,4583000.0,12750000.0,2020
416,NGA,65133759.0,46800000.0,88650000.0,2020
417,NIC,32469.0,27000.0,38000.0,2020
418,NPL,244.0,200.0,300.0,2020
419,OMN,0.0,,,2020
420,PAK,542779.0,428000.0,724000.0,2020
421,PAN,2049.0,2000.0,2200.0,2020
422,PER,29745.0,22000.0,41000.0,2020
423,PHL,15096.0,11000.0,20000.0,2020
424,PNG,1470120.0,1012000.0,1974000.0,2020
425,PRK,1819.0,,,2020
426,PRY,0.0,,,2020
427,RWA,2986047.0,2177000.0,3831000.0,2020
428,SAU,83.0,,,2020
429,SDN,3261859.0,1614000.0,5853000.0,2020
430,SEAR,4998046.0,3600000.0,6700000.0,2020
431,SEN,835455.0,565000.0,1131000.0,2020
432,SLB,112768.0,98000.0,133000.0,2020
433,SLE,2795827.0,1646000.0,4477000.0,2020
434,SLV,0.0,,,2020
435,SOM,926877.0,570000.0,1451000.0,2020
436,SSD,3042784.0,1664000.0,5116000.0,2020
437,STP,1933.0,,,2020
438,SUR,156.0,,,2020
439,SWZ,233.0,,,2020
440,SYR,0.0,,,2020
441,TCD,3433441.0,1904000.0,5752000.0,2020
442,TGO,2049459.0,1236000.0,3196000.0,2020
443,THA,2988.0,,,2020
444,TJK,0.0,,,2020
445,TKM,0.0,,,2020
446,TLS,4.0,3.0,4.0,2020
447,TUR,0.0,,,2020
448,TZA,7604750.0,4974000.0,10990000.0,2020
449,UGA,12602807.0,8333000.0,19840000.0,2020
450,UZB,0.0,,,2020
451,VEN,223349.0,198000.0,258000.0,2020
452,VNM,1657.0,1500.0,1900.0,2020
453,VUT,910.0,700.0,1200.0,2020
454,WPR,1649922.0,1195000.0,2152000.0,2020
455,YEM,800213.0,562000.0,1154000.0,2020
456,ZAF,4463.0,,,2020
457,ZMB,3537563.0,2217000.0,5289000.0,2020
458,ZWE,1152901.0,693000.0,1662000.0,2020
459,AFG,193232.0,149000.0,245000.0,2021
460,AFR,233829474.0,210000000.0,262000000.0,2021
461,AGO,8794084.0,5818000.0,12740000.0,2021
462,AMR,596552.0,554000.0,646000.0,2021
463,ARE,0.0,,,2021
464,ARG,0.0,,,2021
465,ARM,0.0,,,2021
466,AZE,0.0,,,2021
467,BDI,3657985.0,2280000.0,5557000.0,2021
468,BEN,4983668.0,3541000.0,6875000.0,2021
469,BFA,8326915.0,5527000.0,12050000.0,2021
470,BGD,8974.0,7700.0,10000.0,2021
471,BLZ,0.0,,,2021
472,BOL,14930.0,12000.0,18000.0,2021
473,BRA,162016.0,145000.0,175000.0,2021
474,BTN,9.0,,,2021
475,BWA,1067.0,820.0,1500.0,2021
476,CAF,1826551.0,920000.0,3217000.0,2021
477,CHN,0.0,,,2021
478,CIV,7443146.0,4149000.0,12400000.0,2021
479,CMR,6665957.0,4301000.0,10060000.0,2021
480,COD,30518545.0,23460000.0,38840000.0,2021
481,COG,1280047.0,800000.0,1949000.0,2021
482,COL,102418.0,78000.0,128000.0,2021
483,COM,10537.0,,,2021
484,CPV,0.0,,,2021
485,CRI,189.0,,,2021
486,DJI,58445.0,,,2021
487,DOM,378.0,320.0,440.0,2021
488,DZA,0.0,,,2021
489,ECU,2175.0,,,2021
490,EMR,6195030.0,4400000.0,9000000.0,2021
491,ERI,92898.0,60000.0,129000.0,2021
492,ETH,3783896.0,2094000.0,5673000.0,2021
493,EUR,0.0,,,2021
494,GAB,535939.0,287000.0,916000.0,2021
495,GEO,0.0,,,2021
496,GHA,5396652.0,3833000.0,7371000.0,2021
497,GIN,4477687.0,2740000.0,6958000.0,2021
498,GLOBAL,247430170.0,224000000.0,276000000.0,2021
499,GMB,213311.0,150000.0,307000.0,2021
500,GNB,216542.0,72000.0,499000.0,2021
501,GNQ,348428.0,183000.0,603000.0,2021
502,GTM,1493.0,1300.0,1700.0,2021
503,GUF,86.0,77.0,100.0,2021
504,GUY,25792.0,22000.0,30000.0,2021
505,HND,2290.0,1800.0,2900.0,2021
506,HTI,22546.0,14000.0,35000.0,2021
507,IDN,811636.0,746000.0,891000.0,2021
508,IND,4265027.0,2874000.0,5880000.0,2021
509,IRN,0.0,,,2021
510,IRQ,0.0,,,2021
511,KAZ,0.0,,,2021
512,KEN,3419698.0,2478000.0,4641000.0,2021
513,KGZ,0.0,,,2021
514,KHM,19064.0,17000.0,22000.0,2021
515,KOR,274.0,,,2021
516,LAO,6403.0,4600.0,8500.0,2021
517,LBR,1852429.0,1124000.0,2958000.0,2021
518,LKA,0.0,,,2021
519,MAR,0.0,,,2021
520,MDG,4911293.0,3126000.0,6833000.0,2021
521,MEX,242.0,,,2021
522,MLI,7744735.0,5463000.0,11010000.0,2021
523,MMR,292857.0,177000.0,1253000.0,2021
524,MOZ,10283922.0,7172000.0,14230000.0,2021
525,MRT,85030.0,40000.0,145000.0,2021
526,MUS,0.0,,,2021
527,MWI,4359158.0,2557000.0,6888000.0,2021
528,MYS,0.0,,,2021
529,NAM,21322.0,17000.0,26000.0,2021
530,NER,8166369.0,4723000.0,13300000.0,2021
531,NGA,65399501.0,47520000.0,89000000.0,2021
532,NIC,29457.0,24000.0,35000.0,2021
533,NPL,106.0,86.0,130.0,2021
534,OMN,0.0,,,2021
535,PAK,505620.0,401000.0,678000.0,2021
536,PAN,4585.0,4400.0,4900.0,2021
537,PER,23250.0,19000.0,28000.0,2021
538,PHL,10609.0,7500.0,14000.0,2021
539,PNG,1237112.0,856000.0,1652000.0,2021
540,PRK,2357.0,,,2021
541,PRY,0.0,,,2021
542,RWA,1700493.0,1242000.0,2184000.0,2021
543,SAU,0.0,,,2021
544,SDN,3325874.0,1643000.0,5906000.0,2021
545,SEAR,5383185.0,4000000.0,7300000.0,2021
546,SEN,995763.0,674000.0,1347000.0,2021
547,SLB,151437.0,126000.0,183000.0,2021
548,SLE,2777394.0,1596000.0,4538000.0,2021
549,SLV,0.0,,,2021
550,SOM,1131892.0,688000.0,1767000.0,2021
551,SSD,2953582.0,1643000.0,4972000.0,2021
552,STP,2719.0,,,2021
553,SUR,22.0,,,2021
554,SWZ,306.0,,,2021
555,SYR,0.0,,,2021
556,TCD,3506428.0,1938000.0,5833000.0,2021
557,TGO,2053345.0,1246000.0,3216000.0,2021
558,THA,2219.0,,,2021
559,TJK,0.0,,,2021
560,TKM,0.0,,,2021
561,TLS,0.0,,,2021
562,TUR,0.0,,,2021
563,TZA,7997711.0,5300000.0,11620000.0,2021
564,UGA,13023397.0,8637000.0,20610000.0,2021
565,UZB,0.0,,,2021
566,VEN,204683.0,182000.0,237000.0,2021
567,VNM,453.0,420.0,510.0,2021
568,VUT,576.0,440.0,780.0,2021
569,WPR,1425928.0,1047000.0,1839000.0,2021
570,YEM,979967.0,690000.0,1420000.0,2021
571,ZAF,2958.0,,,2021
572,ZMB,3655518.0,2316000.0,5482000.0,2021
573,ZWE,342543.0,205000.0,492000.0,2021
